,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa
bert-base-uncased,0.1204,0.029047811398711872,0.1204,0.04194790938007998,0.0016163010315268789
roberta-base,0.1156,0.01336336,0.1156,0.023957260666905702,0.0
distilbert-base-uncased,0.12,0.045798546331129696,0.12,0.02779349210903874,0.000474320367970793
xlnet-base-cased,0.1136,0.019425378152139246,0.1136,0.026419039809445714,-0.002404685608617063
albert-base-v2,0.1204,0.02876941963608358,0.1204,0.04246567148123662,0.004579207248510242
